latitude,longitude,hashtag,timestamp
-7.263825806,112.75942709,"surabaya, rooftop, metropolitan, crowded, latepost, selfie, fkunair, green, nofilter, amec",1417759077
-33.643742907,150.846220628,"beautiful, cute, love, color, photo, selfie, pic, sunny, style, sfs, food, follow4follow, portrait, instadaily, instagramhub, me, swag, girl, meow, self, followforfollow, bestoftheday, iphone, s4s, like4like, beach, picoftheday, igers",1417755016
44.411315429,-79.675209643,"postgym, fashion, love, bffs, selfie, lovethem, outfit, selfiemachine, ootd, fitspo, fitfam, girl, roomies, me, style, like4like, likeback, instagood, likeforlike, smile, l4l, happy",1412376234
40.113709951,-74.052400002,"cheese, cabernetsauvignon, snacks, becauseimpretty, sharpcheddar, bejealousofmysnacks, wine, pepperoni, hashtagslotsofthem, yourewelcome, onmywayhome, triscuits, thinkitwasmypsychscreeningbadge, oh, happyweekend, work, afterwork, igotoutofaspeedingticket, gotoutlate, morehashtags, wolflovesmyhashtags, misseddinner, justkidding, nofilter, apples",1417759083
-6.128258288,106.831833416,"snowman, prints, love, igart, december, wreath, illustration, gifts, design, artwork, floral, home, decor, flower, yay, winter, patterns, watercolour, drawing, igflowers, workshop, teddybear, brushwork, handpainted, illustrator, nofilter, christmas, red",1417758796
40.744619378,-73.731280864,"mcm, newyorkcity, newyork, nofilter, tbt, goodtimes, insta, fbf, jj, follow4follow, instadaily, instagramhub, jj_forum, instago, swag, webstagram, throwbackthursday, wcw, iphone6, iphoneonly, instagramers, iphonephotography, tagsforlikes, ny, igdaily, nyc, like4like, picoftheday, photooftheday",1417759009
33.841074366,-118.391170652,"blueskyday, nofilter, fortunatissima",1417759083
-33.878942546,151.146481654,"notafriendifdorothy, nofilter",1417759084
42.490743232,-83.138174707,"selfie, gno, vino",1417759085
3.148659,101.7091276,"summer, selfie, love, igers, instagood",1416127875
47.806319352,13.027168494,"me, eyes, fashion, love, ootd, instalook, selfie, outfit, austria, good, igers, inspo, girl, morning, weekend, cold, blue, like4like, winter, instadaily, salzburg, all_shots, face, bad, earlybird, instalike, metoday, potd, followme, photooftheday",1417759086
35.734745,139.73552,"mylove, sleepyhead, doggy, sucre, selfie, 嫌がってる, thechainsmokers",1417759087
39.778594087,30.510491606,"l4l, life, family, look, selfie, nofilter, eyes, hair, instago, all_shots, follow4follow, my, cool, funny, style, webstagram, colorful, instafollow, iphoneonly, 20likes, lol, tagsforlikes, instacool, likeforlike, pretty, sun, bored, tweegram, christmas, nice",1417711139
-33.7201628,151.024999868,"dancemoms, smiler, arianagrande, hannah, selfie, f4f, mileycyrus, textpost, tumblr, bangerztour, montana, mileycyrusfan, onedirection, me, funny, mileyfan, hannahmontana, bangerz, lol, cyrus, whitagram, miley, followme, divergent",1417759090
39.078670261,9.023210211,"cycleporn, triatleta, roadcycling, picoftheday, instalike, triathlon, sardegna, bicicletta, instaciclismo, training, technobike, instatriathlon, cool, bikeporn, trek, cycling, procycling, instacycling, cagliari, ciclismo, igerciclismo, bikestragam, bike, likeforlike, sram, stecchetta, ingercycling, nofilter, bikelife, photooftheday",1416563142
-7.9652935,112.6155097,"l4l, life, family, look, selfie, nofilter, eyes, hair, instago, all_shots, follow4follow, my, cool, funny, style, webstagram, colorful, instafollow, iphoneonly, 20likes, lol, tagsforlikes, instacool, likeforlike, pretty, sun, bored, tweegram, christmas, nice",1417757419
-6.2399292,106.8537136,"cute, fashion, rabbit, beauty, asiangirl, styleoftheday, selfie, lookbook, outfit, ootdindo, ootd, instadaily, vsco, kelinci, chill, style, like4like, instastyle, pet, beautybloggerindonesia, styleblogger, instagood, afternoon, instapet, smile, korean, vscocam, fashionblogger, makeupkorea, instafashion",1414167942
14.571241667,121.003088883,selfie,1417759093
45.139508774,10.010704519,"l4l, life, family, look, selfie, nofilter, eyes, hair, instago, all_shots, follow4follow, my, cool, funny, style, webstagram, colorful, instafollow, iphoneonly, 20likes, lol, tagsforlikes, instacool, likeforlike, pretty, sun, bored, tweegram, christmas, nice",1417758912
30.538136,-97.8445002,"awkward, selfie, scene, ewe, sorry, lol, smile, alternative, emo",1417759097
32.124608872,34.830421452,"motd, gold, selfie, makeup, makeupaddict, ilovemaciggirls, mac, lorac, kyliejennerlip, lclaurenconrad, makeupforever, brows, repost, hair, kohls, kyliejenner, anastasiabrows, benefit, hotd, necklace, blush, ombre",1417759095
37.479624,-122.4423535,"vodka, love, rum, абсент, selfie, война, bara, psilocybe, opium, food, creozole, earth, znah, cocaine, datura, me, absent, usarmy, москва, alcohol, usa, cannabis, universe, metamphetamine, россия, cognac, mdma, gin, newyork, war",1417759098
44.083806488,9.902432852,"woman, love, beauty, inverno, outfit, fiocco, dolceegabbana, chic, ribbon, repost, style, winter, testimonial, faccette, elegante, occhiali, selfie, sainttropezshop, pelle",1417759099
45.331691529,-118.04861969,"decemberphotochallenge, starbucks, ilovechristmas",1417759100
14.553594841,121.050827026,"feelingmatalino, igersphilippines, mobilephotography, fullbooked, igersmanila, bookworm, note4, starbucks, galaxy, bgc, decaffeinating, samsung, picotheday, caffeine, igersdaily, book, vscocam, igers",1417759092
14.327227132,121.087997855,"slowroasthamandcheese, coffee, foodie, coffeelover, pavillionmall, starbucks, darkmocha",1417759076
25.118498743,55.19869458,"дубай, архив, dubai, emiratesmall, эмиратмолл, coffee, starbucks",1414379452
50.938518524,-114.089500427,"indeliblephoto, lifeofaphotographer, instasize, cupcake, noflash, indeliblephotography, nofilter, simplybadmag, naturallight",1417759101
55.638483333,13.0631055,"nofilter, everywhere, red",1417759103
-33.874454392,151.203109852,"nofilter, storm, sydney",1417759103
33.850651444,-118.352043545,"love, cantwait, turnup, letstrade, selfie, insomniacevents, tbt, edm, onone, rave, takemeback, edmfestivals, undertheelectricsky, kandii, peace, edclv2015, unity, plur, edclv, hurryupsummer, 2014, festivalprobz, unforgettablenight",1417759106
55.762945575,37.617133856,"hair, life, love, selfienation, selfie, instalove, selfies, igers, pretty, smile, fun, portrait, утро, followme",1417759105
9.513158333,123.185988333,selfie,1417759105
39.990785671,116.46633307,selfie,1417759108
45.334077347,-79.130505044,"fashion, love, earlymorningssuck, selfie, selfiemachine, outfit, ootd, girl, fitfam, fitspo, me, style, like4like, likeback, instagood, likeforlike, smile, l4l, ilovemybed, happy",1413598076
-6.181117986,106.838169023,selfie,1417759109
19.50278,-99.091677833,"pink, justme, nigga, selfie, cap, style, freetime, go, girl",1417759109
39.078789074,9.0230818,"cycleporn, triatleta, roadcycling, picoftheday, instalike, triathlon, sardegna, bicicletta, instaciclismo, training, technobike, instatriathlon, cool, bikeporn, trek, cycling, procycling, instacycling, cagliari, ciclismo, igerciclismo, bikestragam, bike, likeforlike, sram, stecchetta, ingercycling, nofilter, bikelife, photooftheday",1414571863
33.473814356,-117.63220744,"love, family, camping, tbt, bostonterrier, treehugers, nofilter, dysonmini",1417759108
44.601153798,33.521396693,"beautiful, cute, picstitch, fashion, love, summer, food, tbt, shoutoutoffice, igers, jj, follow, girl, instamood, instagramhub, me, happy, webstagram, tflers, instadaily, sun, iphoneonly, sky, iphonesia, instagood, bestoftheday, nofilter, tweegram, picoftheday, photooftheday",1417758212
10.1705295,-69.3179711,selfie,1410971442
1.33965,103.70647,"afterworkselfie, rakuten, welooksotiredlol, wattention, selfie, 敏敏2人组, japangourmetfestival",1417759115
-6.128259333,106.831834555,"snowman, prints, love, igart, charms, december, wreath, illustration, design, artwork, floral, home, decor, flower, yay, winter, patterns, nutcracker, watercolour, drawing, igflowers, workshop, brushwork, handpainted, illustrator, santaclause, nofilter, christmas, red",1417758940
45.536830132,-122.877489567,"mcm, family, selfie, makeup, tbt, like4like, hair, fun, fb, follow4follow, throwback, follow, girl, trip, repost, nofilter, throwbackthursday, wcw, latepost, stillmybaby, music, gorgeous, f4f, party, cool, followme, l4l",1417659532
37.4932171,127.1028556,"거침없이하이킥, selca, 김혜성, selfie, hair, 내중심이다그램, 얼스타그램, 셀카, 악어, 셀스타그램, 금요일, 히주짱",1417759117
37.505371711,127.025395081,"겨울, fashion, 멍스타그램, 오리털패딩, selfie, 견스타그램, 파카, 패딩, 데일리룩, ootd, bedlingtonterrier, 라쿤패딩, 패션, 퍼피, winter, dailylook, 베들링턴테리어, 반려견, 겨울코디, dog, 12월, 셀피, 셀카, puppy, 네오, 옷스타그램",1417759117
-33.865827771,151.203981628,"nofilter, sydney",1417759116
33.969721533,-118.049781723,"pih, okayimdone, getonourlevel, workflow, selfie, work, workselfie, laboranddelivery, coworkers, postpartum, fuckfloating",1417759121
44.398678278,8.948173315,"beautiful, cute, fashion, love, summer, food, instalike, selfie, tbt, igers, follow4follow, follow, instadaily, friends, girl, me, swag, tflers, followme, instagood, tagsforlikes, amazing, bestoftheday, photooftheday, fun, smile, like4like, picoftheday, goodmorning, happy",1417759050
19.4908606,-99.2497085,"centrodf, buildings, mexico, df, ciudaddemexico, selfie, yolo, cdmx, downtown, edificios, architecture, mexicocity, centrohistorico, arquitectura",1417759123
1.351492324,103.835682511,"pacamara, suchafattyblog, coffee, cafehopping, foodie, solitaryfoodie, foodporn, food, delicious, macandcheese, pacamaraboutique, cafe, weekend, brunch, upperthomson, blog, vsco, roasters, review, pacamarasg, hungry, instafood, macaroni, suchafatty, weekendbrunch, vscocam",1417759119
33.758779205,-117.962394012,"bae, central, romantic, california, brunch, coast",1417759108
33.30906241,-111.89871519,"sausage, hashbrowns, quiche, brunch, bacon, coffeecake",1417759076
35.307644077,139.484844396,"worlds, lunch, dayshot, home, brunch, onthetable",1408331698
1.361407147,103.8857241,"brunch, friday",1417758951
-33.886035335,151.23974516,"foodstagram, foodgasm, sydneyfood, foodporn, food, dessert, foodphotography, foodblog, lunch, sydneyeats, mealforameal, foodie, breakfast, chiswick, brunch, foodlust, foodbloggers, getfatwithnat, dinner, foodies, yum, sydney, sydneyfoodie",1417758679
-33.886035335,151.23974516,"foodstagram, foodgasm, sydneyfood, foodporn, food, dessert, foodphotography, foodblog, lunch, sydneyeats, mealforameal, foodie, breakfast, getfatwithnat, brunch, foodlust, foodbloggers, dinner, foodies, yum, sydney, sydneyfoodie",1417758789
13.733549888,100.581641661,"smokedsalmon, yummy, foodporn, eggbenedict, tgif, girls, instafood, foodie, brunch",1417758903
25.028685867,121.549253772,"familytime, brunch, lunchtime",1417758815
-31.949046338,115.859009784,"kostas, coffee, snacks, lunch, jamesst, follow, breakfast, cafe, brunch, sunrise, northbridge, iphonesia, instagood, perth, kostasnorthbridge, instamood, earlymorning",1417758703
1.299668153,103.855655509,"foodstagram, foodie, bacon, japanese, french, fusion, milkshake, sgfood, brunch, spaghetti",1417758665
-31.949046338,115.859009784,"kostas, coffee, snacks, lunch, jamesst, follow, breakfast, cafe, brunch, sunrise, northbridge, iphonesia, instagood, perth, kostasnorthbridge, instamood, earlymorning",1417758663
25.03678647,121.547926418,brunch,1417758648
19.1060905,72.8772669,"bandra, foodie, foodporn, instapic, cheatmeal, foodgasm, frenchfries, brunch, mumbaifoodies, foodofmumbai, mumbai, sundaybrunch, instafood, scrambled, foodtalkmumbai, european, egg, mumbaifoodie",1417758620
45.334101494,-79.130538535,"fashion, love, fitspo, selfie, selfiemachine, outfit, ootd, girl, missedmyguitar, fitfam, me, style, like4like, sleepwalking, likeback, instagood, acousticcover, likeforlike, smile, l4l, happy",1413853950
32.096747167,34.774733333,"life, love, xo, selfie, swag, noshame, laugh, smile, girl, weekend, happy",1417759128
37.292948915,-121.761908373,"stoner, dm, adults, hitmeup, hmu, selfie, men, snapchat, kik, dirtyrp, single, adult, mirror, weshouldsmoke, kikme, rp, seduce, snapme, sexyy, snapchatme, dirtysnaps, letssmoke, followforfollow, hotguys, dirty, f4f, snap, guy, seductive, followme",1417759129
37.6540525,126.8360178,"겨울, winter, selfie, instalife, daily, 여행, 부산, 얼스타그램, busan, 일상, 셀스타그램, trip, 셀피",1417759129
-33.762534214,151.160280062,"summerstorms, tgif, nofilter, sydney",1417759131
42.471014366,-88.305322926,"cute, lace, heart, loveit, selfie, ravefamily, soul, longhairdontcare, habibi, closeup, nudelips, dontforgetaboutathingcalledlove, imhappy, dress, thebest, lovepoem, blackhair, imlove, techno, black, mexicangirl, happythursday",1417759127
37.522934533,127.047033525,"스드메, 예랑, 더라빌, 로브드k, wedding, 예비신부, bridetobe, 라비첸토, weddingdress, 웨딩드레스, instasize, 청담, marriage, 예비부부, sneakpeek, nofilter, 드레스셀렉",1417759102
41.178284572,28.71166554,"yeğenimingözünden, kırmızılıkızmışbuforoğrafınadı, teyzesinçekmiş, tekli, selfie, muradosman",1417758862
19.2089688,72.8358812,"beardloving, selfie",1417759131
43.560371627,-79.684743304,"eyebrows, beautiful, ball, love, selfie, makeup, hair, saturday, latergram, stopdropandselfie, jenner, purple, amazing, luxury, pretty, gorgeous, kendaljenner, kendal",1417051710
49.800839096,-119.504658591,selfie,1417759134
-6.157158,106.7644504,"cute, foreveryoung, fun, boring, selfie, awesome, cool",1417759133
47.233614544,39.701377479,"rostov, coffee, vscostyle, love, winter, vscorussia, rostovondon, vscolook, vscofood, starbucks, vscorostov, vscocam, vsco, russia, hersheys",1417759130
34.683633433,136.518023295,"coffeetime, supralife, supranation, cranberryblissbar, starbucksmug, mymug, 3pm, cranberrywhitemocha, chicagomug, starbucks",1417759122
35.1869177,129.0829232,"마무으리, 마지막, 마무리, 옆, americano, koreafood, 아메으리카노, 이야기, 당근호두케잌, 따듯함, 사촌동생, 아이스아메리카노, 국민은행, 앞, 아직도, 크리스마스캐롤, 설레임, 연산역1번출구, instasize, instafood, 연산점, 순덕이, 아메리카노, 연산동, 스타벅스, starbucks",1417759121
1.287003,103.853418104,starbucks,1417759111
40.62515,22.732232222,"selfie_greece, gr, instaweatherpro, selfie, snowfall, morning, autumn, insta_greece, weather, rain, χαλάστρα, ελλάδα, instaweather, android, day, wx",1417759106
32.5088226,74.5534974,"morningtym, swag, officework, selfie, hoody, sunrise, instamood",1417759138
38.559195925,-121.74385918,"burninmyhair, cheveaux, nightout, curly, selfie, hair, thatselfie, juergues, outfitproblems, girl, gurl",1417759140
